GEOID;NAME;variable;value
09;Connecticut;P1_001N;3605944
10;Delaware;P1_001N;989948
11;District of Columbia;P1_001N;689545
12;Florida;P1_001N;21538187
13;Georgia;P1_001N;10711908
15;Hawaii;P1_001N;1455271
16;Idaho;P1_001N;1839106
17;Illinois;P1_001N;12812508
18;Indiana;P1_001N;6785528
19;Iowa;P1_001N;3190369
20;Kansas;P1_001N;2937880
21;Kentucky;P1_001N;4505836
22;Louisiana;P1_001N;4657757
23;Maine;P1_001N;1362359
24;Maryland;P1_001N;6177224
25;Massachusetts;P1_001N;7029917
26;Michigan;P1_001N;10077331
27;Minnesota;P1_001N;5706494
28;Mississippi;P1_001N;2961279
29;Missouri;P1_001N;6154913
30;Montana;P1_001N;1084225
31;Nebraska;P1_001N;1961504
32;Nevada;P1_001N;3104614
33;New Hampshire;P1_001N;1377529
34;New Jersey;P1_001N;9288994
35;New Mexico;P1_001N;2117522
36;New York;P1_001N;20201249
37;North Carolina;P1_001N;10439388
38;North Dakota;P1_001N;779094
39;Ohio;P1_001N;11799448
40;Oklahoma;P1_001N;3959353
41;Oregon;P1_001N;4237256
42;Pennsylvania;P1_001N;13002700
44;Rhode Island;P1_001N;1097379
45;South Carolina;P1_001N;5118425
46;South Dakota;P1_001N;886667
47;Tennessee;P1_001N;6910840
48;Texas;P1_001N;29145505
49;Utah;P1_001N;3271616
50;Vermont;P1_001N;643077
51;Virginia;P1_001N;8631393
53;Washington;P1_001N;7705281
54;West Virginia;P1_001N;1793716
55;Wisconsin;P1_001N;5893718
56;Wyoming;P1_001N;576851
72;Puerto Rico;P1_001N;3285874
01;Alabama;P1_001N;5024279
02;Alaska;P1_001N;733391
04;Arizona;P1_001N;7151502
05;Arkansas;P1_001N;3011524
06;California;P1_001N;39538223
08;Colorado;P1_001N;5773714
