"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","S1501_C02_015",20,2.9
"2","19003","Adams County, Iowa","S1501_C02_015",24.5,3.3
"3","19005","Allamakee County, Iowa","S1501_C02_015",19.9,2.3
"4","19007","Appanoose County, Iowa","S1501_C02_015",19.3,2.6
"5","19009","Audubon County, Iowa","S1501_C02_015",20.6,2.9
"6","19011","Benton County, Iowa","S1501_C02_015",24.9,1.9
"7","19013","Black Hawk County, Iowa","S1501_C02_015",30.1,1.2
"8","19015","Boone County, Iowa","S1501_C02_015",28.7,2.4
"9","19017","Bremer County, Iowa","S1501_C02_015",35.2,2.1
"10","19019","Buchanan County, Iowa","S1501_C02_015",22.3,1.9
"11","19021","Buena Vista County, Iowa","S1501_C02_015",22.1,2.4
"12","19023","Butler County, Iowa","S1501_C02_015",20.4,1.7
"13","19025","Calhoun County, Iowa","S1501_C02_015",21.5,2.4
"14","19027","Carroll County, Iowa","S1501_C02_015",23.4,2.4
"15","19029","Cass County, Iowa","S1501_C02_015",21.6,2.6
"16","19031","Cedar County, Iowa","S1501_C02_015",21.5,2.4
"17","19033","Cerro Gordo County, Iowa","S1501_C02_015",24.3,1.8
"18","19035","Cherokee County, Iowa","S1501_C02_015",21.6,2.5
"19","19037","Chickasaw County, Iowa","S1501_C02_015",19.1,2.6
"20","19039","Clarke County, Iowa","S1501_C02_015",16,4.1
"21","19041","Clay County, Iowa","S1501_C02_015",26,2.9
"22","19043","Clayton County, Iowa","S1501_C02_015",15.7,1.6
"23","19045","Clinton County, Iowa","S1501_C02_015",22.1,1.9
"24","19047","Crawford County, Iowa","S1501_C02_015",18.3,2.5
"25","19049","Dallas County, Iowa","S1501_C02_015",51.6,1.8
"26","19051","Davis County, Iowa","S1501_C02_015",17.6,2.8
"27","19053","Decatur County, Iowa","S1501_C02_015",24.3,3
"28","19055","Delaware County, Iowa","S1501_C02_015",19.7,2.5
"29","19057","Des Moines County, Iowa","S1501_C02_015",23.8,1.8
"30","19059","Dickinson County, Iowa","S1501_C02_015",32.3,2.4
"31","19061","Dubuque County, Iowa","S1501_C02_015",32.9,1.2
"32","19063","Emmet County, Iowa","S1501_C02_015",15.7,2.7
"33","19065","Fayette County, Iowa","S1501_C02_015",18.2,1.8
"34","19067","Floyd County, Iowa","S1501_C02_015",18.5,2.9
"35","19069","Franklin County, Iowa","S1501_C02_015",18.2,2.6
"36","19071","Fremont County, Iowa","S1501_C02_015",21.1,2.9
