GEOID,county_name,percent_broadband,percent_occupied,pct_poverty,pct_labor_force_16up,pct_labor_force_20_64,pct_unemployment,pct_high_school,pct_bachelors,pct_insurance
19001,Adair,78.8,89.4,10.1,63.3,80.4,3.9,95.7,19,95.1
19003,Adams,83.7,80.5,9.5,61.8,81.1,4.2,94,21.4,95.1
19005,Allamakee,82.7,77.6,11.6,63.8,82,3.2,91.7,18.4,93.6
19007,Appanoose,81.3,79.5,17.3,53.9,69.8,6.1,91.9,18.8,92
19009,Audubon,81.4,90.4,11.8,63.2,84.3,0.7,90.5,21.7,95.9
19011,Benton,86.9,91.3,8.3,66.2,84,2.3,94.4,23.3,97.3
19013,Black Hawk,86.8,91.6,15.7,66.5,81.5,5.2,92.9,30,95.8
19015,Boone,86.9,91.2,7.5,65.8,82.8,1.3,95.2,26.4,95.5
19017,Bremer,90,92.3,6.6,66.7,85.4,3.2,96.1,34,97.9
19019,Buchanan,85,90,8.6,67.2,85.4,3,93.6,21.1,93.6
19021,Buena Vista,88.7,92,7.1,68.3,86.1,5,79.3,21.6,94
19023,Butler,82.8,89.2,11.8,62.1,82.9,3.9,93.5,19.4,96.2
19025,Calhoun,86.3,80.4,9,54.7,71.7,2.7,93.9,21.4,96.3
19027,Carroll,84.8,91.4,7.8,66.6,84.8,1.9,94.7,22.1,96.8
19029,Cass,81.9,90.1,15.3,62.2,80.3,1.4,91.2,20.9,95.8
19031,Cedar,84.5,91.4,7.8,66.7,84.5,3,95.6,20.9,96.6
19033,Cerro Gordo,86.4,85.9,9.3,64.6,84.2,3,93.7,24,95.9
19035,Cherokee,82.8,92.6,13.3,65.3,89.6,3.2,93.2,21.7,94.6
19037,Chickasaw,84,88.8,6.3,67.4,87,2.1,93.6,18.6,92.6
19039,Clarke,81.6,89.8,16.9,63.6,79.7,3.9,84.5,15.2,93.6
19041,Clay,86.1,89.2,11.5,67.4,86.9,4.1,95.5,26,95.4
19043,Clayton,81.3,83,13,63.5,82.4,2.6,90.7,17.2,92.9
19045,Clinton,83.5,88.9,12.4,60.8,79.1,4.4,92,21.6,95.1
19047,Crawford,84.7,90.6,17,63.7,80.4,4.1,82.5,16.1,91.1
19049,Dallas,90.8,94.3,5.7,75.4,88,3,96.3,51.5,95.6
19051,Davis,68,88.4,9.4,62.6,76.8,2,79.2,19,71.1
19053,Decatur,81.7,83.5,14.5,59.1,76.9,4.2,89.1,24.9,92.3
19055,Delaware,84.8,87.2,6.6,71.1,88,2.2,92.1,18.5,95.8
19057,Des Moines,83.5,91.8,14.6,61,78.5,2.9,92.9,23.3,96.5
19059,Dickinson,87.4,59.8,6.2,64.9,85.8,2.1,96.5,32.7,95.6
19061,Dubuque,88.1,93.6,10,67.4,84.5,4.1,94,32,96.6
19063,Emmet,84.6,86,12.7,64,83.8,2.1,87.3,15.2,94.5
19065,Fayette,83.1,88.3,11.8,60.6,78.8,3.7,92.9,17.2,94.6
19067,Floyd,82,90,10.9,61.1,82.2,3.3,93.2,18.2,95.3
19069,Franklin,81,87.9,13.7,62.4,78.8,3.8,92.4,18.5,89.6
19071,Fremont,83,87,7.5,59.6,77.6,1.7,94.9,19.2,96.2
19073,Greene,86.2,88.7,11.5,63.8,84.1,3.6,93.2,19.7,96.8
19075,Grundy,86.3,92.8,5.9,65.7,85.4,2.5,95.9,26.1,97
19077,Guthrie,84.8,78.1,10.1,63.9,84.8,3.3,94.3,21.6,96.8
19079,Hamilton,82.7,88.1,7.8,63.3,82.7,4,92.6,22.5,95.8
